# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19856
#@/user_id	240c8f47-1b3e-481f-bf46-4ce45a0f2d10
a 	啊	c=2 d=0.0773569 t=19856
bei 	被	c=20 d=0.104996 t=19856
bei an 	北岸	c=1 d=2.24363e-07 t=19856
bei cheng wei 	被稱爲	c=1 d=1.3113e-12 t=19856
bei dong 	被動	c=1 d=6.45133e-21 t=19856
bei fen 	備份	c=2 d=0.00113061 t=19856
bei jing 	北京	c=14 d=0.594521 t=19856
bei jing 	背景	c=1 d=3.50534e-21 t=19856
bei kai chu 	被開除	c=1 d=6.44475e-09 t=19856
bei kai qi 	被開啓	c=1 d=0.00238156 t=19856
bei lai 	北來	c=1 d=5.80731e-19 t=19856
bei lu 	北路	c=1 d=0.0169075 t=19856
bei ren wei 	被認爲	c=1 d=0.315058 t=19856
bei shu 	倍數	c=1 d=9.40773e-18 t=19856
bei tu po 	被突破	c=2 d=1.32672e-16 t=19856
bei xuan 	備選	c=12 d=0.0173305 t=19856
bei yong jin 	備用金	c=2 d=6.45039e-07 t=19856
bei zhu 	備註	c=1 d=4.24619e-12 t=19856
bei zi 	被子	c=0 d=1.47137e-15 t=19856
ben 	本	c=6 d=0.0359725 t=19856
ben ban ben 	本版本	c=1 d=3.67117e-06 t=19856
ben di 	本地	c=5 d=1.38834e-11 t=19856
ben lai 	本來	c=13 d=0.115903 t=19856
ben qu 	奔去	c=1 d=7.99468e-15 t=19856
ben sheng 	本省	c=7 d=2.56129e-06 t=19856
ben sheng lv 	本省率	c=3 d=1.30747e-07 t=19856
ben yu 	本語	c=1 d=0.255381 t=19856
ben yue 	本月	c=10 d=0.371107 t=19856
ben zhou 	本週	c=5 d=0.579842 t=19856
bi 	比	c=17 d=0.990629 t=19856
bi cheng 	必成	c=1 d=0.00307331 t=19856
bi de 	彼得	c=2 d=0.0765355 t=19856
bi ji 	筆記	c=2 d=8.48529e-12 t=19856
bi jia 	比價	c=1 d=0.494109 t=19856
bi jiao 	比較	c=16 d=0.200587 t=19856
bi jiao ao shu hao 	比較奧數好	c=1 d=1.34867e-19 t=19856
bi jiao chang 	比較長	c=1 d=6.86799e-22 t=19856
bi jiao da 	比較大	c=2 d=0.013119 t=19856
bi jiao di 	比較低	c=3 d=1.56725e-11 t=19856
bi jiao duan 	比較短	c=1 d=1.87563e-17 t=19856
bi jiao duo 	比較多	c=1 d=0.0513033 t=19856
