a	art.一;字母A
absorbing	a.吸引人的;非常有趣的
absorptance	n.吸收比
absorption	n.吸收;专心;热中
absorptive	a.吸收性的;有吸收力的
abstain	vi.自制;戒绝;弃权;避免
abstainer	n.节制者;戒酒者;弃权者
abstemious	a.节制的;节约的
abstention	n.节制;戒绝;避免;弃权
abstergent	a.去垢的|n.洗洁剂
abstinence	n.节制;禁欲;戒酒
abstinent	a.饮食有度的;有节制的;禁欲的
abstract	n.摘要;抽象|a.抽象的;深奥的|vt.摘要;提炼;使抽象化
abstracted	a.心不在焉的;出神的;分心的
abstraction	n.抽象化;心不在焉;提炼;抽象派作品
abstractionism	n.抽象派艺术
abstractionist	n.抽象派艺术家
abstruse	a.难解的;深奥的
absurd	a.荒谬的;不合理的;可笑的
absurdity	n.荒谬;悖理;荒谬的事
absurdly	ad.荒谬地;悖理地;愚蠢地
absurdness	n.荒谬;愚蠢
abulia	n.意志力丧失
abundance	n.丰富;充足
abundant	a.丰富的;充分的
abundantly	ad.大量地;丰富地
abusage	n.文字的滥用
abuse	n.滥用;恶习;辱骂|vt.滥用;辱骂;虐待
abusive	a.辱骂的;滥用的;陋习的
abut	vt.vi.邻接;毗邻
abutment	n.邻接;接界;桥礅
abuttals	n.地界
abutter	n.相邻房地产的业主
abutting	a.邻接的
abuzz	a.嗡嗡的;嘁嘁喳喳的;活泼的
abysmal	a.深不可测的;无底的
abyss	n.深渊;无底洞;地狱
abyssal	a.深渊的;深海的
Abyssinia	n.阿比西尼亚
Abyssinian	a.阿比西尼亚的|n.阿比西尼亚人;依索比亚人
ac	n.交流
acacia	n.洋槐;刺块;阿拉伯橡胶树
academia	n.学术界;学术环境
academic	a.学院的;理论的;不够实际的
academical	n.大学制服
academician	n.学会会员;协会会员;院士
academicism	n.艺术院的作风;形成主义
academy	n.学院;院校;学会
Acadia	n.包括现在NovaScotia州的旧称
acaleph	n.水母
acanthus	n.爵床属植物;叶形的装饰板
accede	vi.同意;就任;继承
accede|to	to|v.同意;加入;就任
accelerant	n.促进剂;触媒
accelerate	vt.vi.加速
accelerated	a.加速的
accelerating	ing.加速
acceleration	n.加速;促进;加速度
